ts,cgroup_current_bytes,mem_available_kb,load1,ollama_pids,ollama_rss_kb_total,ollama_cpu_pct_total
2026-04-28T02:27:16Z,381878272,7173620,1.39,"389 10351",118408,11.9
2026-04-28T02:27:18Z,2031640576,6409996,1.35,"389 10351 10384",996116,84.1
2026-04-28T02:27:20Z,4175400960,5370716,1.35,"389 10351 10384",2025460,87.4
2026-04-28T02:27:22Z,5287497728,4832180,1.35,"389 10351 10384",2566580,91.4
2026-04-28T02:27:24Z,5368709120,3699728,1.33,"389 10351 10384",3699752,90.1
2026-04-28T02:27:26Z,5368565760,2758328,1.33,"389 10351 10384",4633780,89.2
2026-04-28T02:27:28Z,5368643584,2439292,1.38,"389 10351 10384",4916460,100.1
2026-04-28T02:27:30Z,5367373824,2436900,1.38,"389 10351 10384",4916460,114.3
2026-04-28T02:27:32Z,5367046144,2436900,1.38,"389 10351 10384",4916460,125.3
2026-04-28T02:27:34Z,5367283712,2440000,1.35,"389 10351 10384",4916460,133.3
2026-04-28T02:27:37Z,5366984704,2450824,1.35,"389 10351 10384",4916460,139.2
2026-04-28T02:27:39Z,5367197696,2457364,1.40,"389 10351 10384",4916460,145.2
2026-04-28T02:27:41Z,5367361536,2457416,1.40,"389 10351 10384",4916460,149.2
2026-04-28T02:27:43Z,5367119872,2457416,1.45,"389 10351 10384",4916460,153.2
2026-04-28T02:27:45Z,5367427072,2457416,1.45,"389 10351 10384",4916460,156.2
2026-04-28T02:27:47Z,5368631296,2456672,1.45,"389 10351 10384",4919000,158.2
2026-04-28T02:27:49Z,5359497216,2454740,1.57,"389 10351 10384",4911176,159.2
2026-04-28T02:27:51Z,5359763456,2454740,1.57,"389 10351 10384",4911176,162.2
2026-04-28T02:27:54Z,5359587328,2454740,1.61,"389 10351 10384",4911176,163.2
2026-04-28T02:27:56Z,5359828992,2454740,1.61,"389 10351 10384",4911176,165.2
2026-04-28T02:27:58Z,5359448064,2454740,1.64,"389 10351 10384",4911176,167.2
2026-04-28T02:28:00Z,5359419392,2454740,1.64,"389 10351 10384",4911176,168.2
2026-04-28T02:28:02Z,5359706112,2454740,1.64,"389 10351 10384",4911176,169.2
2026-04-28T02:28:04Z,5359759360,2454816,1.67,"389 10351 10384",4911176,170.2
2026-04-28T02:28:06Z,5359648768,2454816,1.67,"389 10351 10384",4911176,171.2
2026-04-28T02:28:09Z,5359874048,2454816,1.70,"389 10351 10384",4911176,172.2
2026-04-28T02:28:11Z,5359714304,2454816,1.70,"389 10351 10384",4911176,173.2
2026-04-28T02:28:13Z,5359489024,2454816,1.72,"389 10351 10384",4911304,174.2
2026-04-28T02:28:15Z,5359599616,2454816,1.72,"389 10351 10384",4911304,175.2
2026-04-28T02:28:17Z,5359443968,2454816,1.72,"389 10351 10384",4911304,175.2
2026-04-28T02:28:19Z,5359734784,2454828,1.74,"389 10351 10384",4911312,176.2
2026-04-28T02:28:21Z,5359513600,2454828,1.74,"389 10351 10384",4911312,177.2
2026-04-28T02:28:23Z,5359730688,2454828,1.76,"389 10351 10384",4911316,177.2
2026-04-28T02:28:25Z,5359497216,2454828,1.76,"389 10351 10384",4911380,178.2
2026-04-28T02:28:27Z,5359747072,2454828,1.76,"389 10351 10384",4911380,178.2
2026-04-28T02:28:30Z,5359710208,2454828,1.94,"389 10351 10384",4911380,179.2
2026-04-28T02:28:32Z,5359603712,2454828,1.94,"389 10351 10384",4911380,179.2
2026-04-28T02:28:34Z,5359591424,2454828,1.95,"389 10351 10384",4911380,180.2
2026-04-28T02:28:36Z,5359616000,2454828,1.95,"389 10351 10384",4911380,180.2
2026-04-28T02:28:38Z,5359517696,2457484,1.95,"389 10351 10384",4911384,180.2
2026-04-28T02:28:40Z,5359874048,2457484,1.95,"389 10351 10384",4911396,181.2
2026-04-28T02:28:42Z,5359431680,2457560,1.95,"389 10351 10384",4911396,181.2
2026-04-28T02:28:44Z,5359480832,2457560,1.96,"389 10351 10384",4911396,181.2
2026-04-28T02:28:46Z,5359583232,2457560,1.96,"389 10351 10384",4911396,182.2
2026-04-28T02:28:49Z,5359779840,2457560,1.96,"389 10351 10384",4911400,182.2
2026-04-28T02:28:51Z,5359579136,2457056,1.96,"389 10351 10384",4911400,182.2
